"ARS","Name","Bundesland","Ostdeutschland","Bev_Tausend","Abitur_Quote","OhneAbschl_Quote","Abitur_GenderGap","Erwerbstaetig_Quote","Erwerbslos_Quote","Nichterwerb_Quote","Erwerbstaetig_GenderGap","Erwerbslos_GenderGap"
"09373","Neumarkt i.d.OPf.","BY",0,131.5,24.9,4.1,-2.1,55,6.8,41.1,-3.1,3.4
"09374","Neustadt a.d.Waldnaab","BY",0,93,21.5,3.5,-2.6,55,6.4,41.2,-3.5,2.9
"09375","Regensburg","BY",0,187.6,29.5,3.8,-2.6,55.2,6.1,41.2,-2.9,1.7
"09376","Schwandorf","BY",0,144.2,19.6,4.6,-2.1,55.7,5,41.3,-3.8,2.3
"09377","Tirschenreuth","BY",0,70.8,17,4.3,-1.3,54.7,7.4,40.9,-4.3,2.5
"09461","Bamberg","BY",0,70,49.2,4.9,-6.6,55.4,6.5,40.7,-1.6,0.7
"09462","Bayreuth","BY",0,69.7,42.8,5.5,-8.5,52.9,7.2,43,-2.3,0.7
"09463","Coburg","BY",0,39.5,39,4.9,-5,53.5,8.2,41.7,-1.9,1.7
"09464","Hof","BY",0,44.3,27.7,7.4,-6.4,49.2,8.9,45.9,-2.6,3
"09471","Bamberg","BY",0,143.6,24.8,3.1,-1.4,55.4,5.2,41.5,-3.2,2.1
"09472","Bayreuth","BY",0,101.5,22.3,2.6,-2.4,54.4,4.8,42.8,-1.8,1.1
"09473","Coburg","BY",0,82.8,21.2,3.7,-2.3,53.5,6.2,43,-2.6,1.6
"09474","Forchheim","BY",0,113.2,28.8,2.2,-4,54.7,4.4,42.8,-3.3,1.6
"09475","Hof","BY",0,90.5,20.9,4.2,-2.1,51.5,5.7,45.4,-2.5,1.1
"09476","Kronach","BY",0,64.1,17.5,3.9,-2.2,53.6,5.7,43.1,-4.1,3
"09477","Kulmbach","BY",0,69.7,23.3,4,-2.1,53.6,6.3,42.8,-2.4,1.5
"09478","Lichtenfels","BY",0,65.6,19.3,4.7,-2.8,54.4,5.3,42.5,-2.6,1.3
"09479","Wunsiedel i.Fichtelgebirge","BY",0,69.3,19.8,5.5,-3.5,50.7,8.1,44.8,-1.9,1.2
"09561","Ansbach","BY",0,38.2,33.1,5.6,-2.8,53.6,5.2,43.4,-2,2.3
"09562","Erlangen","BY",0,110,58.7,5.5,-9,55.3,7.2,40.5,-3.7,2.6
"09563","Fürth","BY",0,127.7,37.6,7.1,-3,54.4,6.8,41.6,-3.4,1
"09564","Nürnberg","BY",0,508.6,42.5,8.5,-4.2,53.4,7.9,42.1,-3.4,2
"09565","Schwabach","BY",0,39.9,32.8,6.2,-4.5,52.2,4.8,45.2,-2.7,1.4
"09571","Ansbach","BY",0,181.9,22.1,4.6,-0.6,56.1,5.7,40.6,-4.1,2.7
"09572","Erlangen-Höchstadt","BY",0,135.3,38.7,3.1,-6.7,53.7,6.6,42.5,-2.9,2.7
