souid,year,annual,winter_half_year,summer_half_year,winter_djf,spring_mam,summer_jja,autumn_son,january,february,march,april,may,june,july,august,september,october,november,december
812,1987,4.17,-0.76,9.37,-3.65,2.53,11.14,6.24,-7.46,-2.38,-4.06,6.14,5.65,9.58,12.3,11.48,11.02,6.21,1.51,-0.22
812,1988,5.34,0.75,9.87,-0.59,4.29,11.82,5.44,0.43,-2.06,-1.53,3.9,10.47,10.4,12.07,12.94,9.22,6.49,0.58,0.71
812,1989,6.61,2.2,10.5,0.78,5.7,12.78,6.85,0.83,0.79,3.62,2.59,10.79,11.5,13.59,13.19,11.1,7.65,1.75,1.33
812,1990,5.96,2.69,9.95,1.04,5.72,12.75,5.47,-0.38,2.3,3.41,3.38,10.27,10.78,12.45,14.96,7.58,7.81,0.95,-2.37
812,1991,5.09,0.58,9.7,-3.15,4.22,12.59,6.08,-2.08,-5.2,3.83,3.31,5.48,8.29,15.03,14.31,11.56,5.25,1.46,-0.96
812,1992,6.05,1.09,11.19,-0.51,5.33,14.04,4.97,-0.89,0.39,1.26,3.77,10.9,12.96,14.53,14.58,10.19,2.81,1.98,-0.04
812,1993,5.3,0.68,10.32,-0.53,6.28,11.71,3.77,-0.39,-1.24,0.84,7.2,10.83,11.8,11.96,11.36,8.64,4.58,-1.93,-0.53
812,1994,6.17,0.1,10.81,-1.48,4.91,14.32,6.43,-0.79,-3.3,2.19,4.07,8.45,11.74,17.74,13.39,9.23,5.12,4.98,0.52
812,1995,5.61,1.18,10.76,-0.66,4.07,14.14,6.31,-2.98,0.61,-1.09,4.51,8.81,10.35,16.67,15.27,8.63,9.26,0.95,-4.08
812,1996,3.77,-0.81,9.05,-4.2,2.9,11.87,4.53,-4.02,-4.52,-2.65,5.1,6.32,11.21,11.49,12.88,7.21,6.05,0.27,-4.34
812,1997,5.58,0.36,10.36,-2.5,4.76,13.39,5.42,-3.26,0.39,3.07,2.58,8.56,11.22,12.68,16.21,10.72,4.31,1.27,-1.2
812,1998,5.21,1.01,10,-0.34,5.33,11.86,4.03,-1.08,1.44,1.38,4.33,10.25,11.87,11.45,12.26,9.73,4.15,-1.8,-1.67
812,1999,5.88,-0.04,11.19,-1.59,5.63,12.79,6.49,-0.14,-3.11,1.99,5.11,9.78,10.65,14.79,12.86,13.81,5.3,0.41,-1.57
812,2000,6.19,0.55,10.93,-1.32,6.33,12.39,6.6,-2.06,-0.25,1.41,6.4,11.18,12.81,10.39,13.97,10.77,6.66,2.38,0.49
812,2001,5.62,1.18,10.28,-0.76,4.62,13.38,6.21,-2.25,-0.51,0.17,2.68,10.96,10.65,14.61,14.81,7.67,9.92,0.9,-2.76
812,2002,6.08,1.78,10.7,-0.81,5.18,13.68,5.74,-0.61,1.13,2.01,4,9.5,12.9,13.16,14.97,9.49,4.52,3.25,-1.66
812,2003,6.33,0.5,12.16,-2.68,5.92,15.68,5.76,-3.5,-2.89,3.06,4.81,9.86,15.23,14.63,17.17,11.11,2.54,3.72,-0.37
812,2004,5.35,0.28,10.24,-1.61,4.33,12.71,5.96,-3.22,-1.21,0.23,5.64,7.15,10.97,12.43,14.69,10.47,6.53,0.85,-0.53
812,2005,5.75,0.37,10.86,-2.07,5.16,12.67,7.64,-1.47,-4.43,0.79,6.11,8.62,12.51,13.81,11.69,12.34,9.05,1.47,-2.17
812,2006,6.4,0,11.68,-2.86,3.55,14.31,9.08,-3.38,-3.05,-2.18,3.63,9.21,13.06,18.74,11.11,14.23,9.15,3.86,1.82
812,2007,6.47,3.19,11.22,1.1,7.36,12.96,4.99,0.65,0.79,2.63,9.12,10.38,13.35,12.77,12.76,8.86,5.45,0.64,-0.17
812,2008,5.95,1.21,10.68,0.46,4.86,13.41,5.53,0.33,1.29,-0.27,3.29,11.51,12.98,14.03,13.22,8.84,5.74,2.01,-1.79
812,2009,5.93,0.12,11.69,-2.58,6.48,13.26,6.75,-3.63,-2.3,0.5,9.14,9.87,10.65,13.89,15.16,11.29,4.95,4.08,-2.82
812,2010,4.53,-0.49,10.5,-4.16,3.96,14.2,5.05,-6.01,-3.6,0.31,5.62,6.01,13.04,17.01,12.52,8.64,5.43,1.07,-6.18
812,2011,6.8,-0.01,11.59,-3.13,7.46,12.49,8.08,-1.6,-1.45,2.6,9.17,10.67,12.35,11.53,13.59,12.17,6.85,5.26,0
812,2012,5.74,1.7,10.56,-2.21,6.41,12.93,6.17,-1.44,-5.39,4.59,3.9,10.65,10.62,13.1,14.98,9.88,6.36,2.25,-1.17
812,2013,5.13,-0.7,10.54,-3.03,2.54,14.02,5.96,-3.41,-4.68,-3.82,3.95,7.53,11.48,15.94,14.56,9.55,7.18,1.11,1.41
812,2014,6.98,2.52,11.11,0.64,6.98,12.99,8.03,-0.02,0.52,4.7,7.76,8.52,11.64,15.68,11.61,11.38,8.82,3.86,-1.08
812,2015,6.41,1.58,10.76,-1.65,4.94,14.13,6.35,-1.77,-2.14,1.47,5.11,8.25,11.52,14.87,15.91,8.68,5.48,4.9,3.98
812,2016,6.18,1.93,11.66,0.51,4.46,13.94,6.72,-1.4,-1.18,-0.33,3.77,9.91,13,14.45,14.35,14.33,4.89,1,1.11
812,2017,6.31,1.23,11.03,-0.92,6.17,14.07,6.4,-3.87,0.09,4.05,3.26,11.1,13.94,14.22,14.04,9.38,7.99,1.76,-0.8
812,2018,7.34,0.49,13.61,-2.02,7.1,15.78,7.79,0.13,-5.75,-0.95,9.69,12.64,13.63,17.47,16.19,11.87,8.56,2.92,0.69
812,2019,7.01,2.48,11.81,0.14,5.3,15.7,6.58,-2.87,2.88,2.76,6.2,6.98,16.36,14.93,15.84,10.45,7.41,1.84,1.16
812,2020,7.29,2.35,12.1,1.07,6.05,14.51,7.75,1.23,0.79,1.56,8.19,8.48,13.2,13.51,16.77,12.39,6.32,4.6,0.31
812,2021,5.89,1.65,10.47,-1.03,3.42,14.03,7.02,-2.74,-0.62,1.92,1.8,6.5,15.7,14.01,12.43,12.36,6.94,1.77,0.19
812,2022,7.48,2.08,12.1,0.09,6.17,15.67,8.16,-0.26,0.37,3.29,4.23,10.91,14.5,15.21,17.28,10.26,9.88,4.3,-0.82
812,2023,7.16,2.63,11.97,-0.09,4.89,14.64,8.46,-0.08,0.71,1.64,3.57,9.42,15.46,14.23,14.25,14.85,8.73,1.79,0.92
812,2024,7.51,2.84,12.11,0.71,7.11,14.43,7.5,-1.31,2.96,3.94,5.95,11.42,12.16,14.67,16.38,11.85,7.99,2.64,0.65
812,2025,7.13,2.47,11.89,-0.14,7.15,14.45,6.69,0.02,-1.2,4.38,7.6,9.48,14.45,14.19,14.7,10.84,6.09,3.15,1.29
812,2026,NA,NA,NA,-0.02,NA,NA,NA,-1.99,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
